to_date,works
01/07/2019,17207
02/07/2019,14326
03/07/2019,48780
04/07/2019,9538
05/07/2019,24459
06/07/2019,2125
07/07/2019,681
08/07/2019,19659
09/07/2019,10198
10/07/2019,4489
11/07/2019,9083
12/07/2019,19469
13/07/2019,2429
14/07/2019,317
15/07/2019,5574
16/07/2019,7253
17/07/2019,7964
18/07/2019,20903
19/07/2019,18762
20/07/2019,1568
21/07/2019,1
22/07/2019,8375
23/07/2019,55287
24/07/2019,32651
25/07/2019,32837
26/07/2019,9494
27/07/2019,1754
28/07/2019,243
29/07/2019,25374
30/07/2019,11372
31/07/2019,17087
01/08/2019,18590
02/08/2019,10323
03/08/2019,1099
04/08/2019,512
05/08/2019,7858
06/08/2019,4634
07/08/2019,2704
08/08/2019,20181
09/08/2019,9467
10/08/2019,1983
11/08/2019,476
12/08/2019,9717
13/08/2019,24666
14/08/2019,34628
15/08/2019,9054
16/08/2019,37224
17/08/2019,1506
18/08/2019,371
19/08/2019,16795
20/08/2019,6673
21/08/2019,4574
22/08/2019,10074
23/08/2019,25199
24/08/2019,1780
25/08/2019,320
26/08/2019,7635
27/08/2019,7527
28/08/2019,2561
29/08/2019,13238
30/08/2019,39124
31/08/2019,7115
01/09/2019,55
02/09/2019,5583
03/09/2019,10360
04/09/2019,10494
05/09/2019,8525
06/09/2019,13104
07/09/2019,6044
08/09/2019,319
09/09/2019,11390
10/09/2019,5680
11/09/2019,19830
12/09/2019,9553
13/09/2019,24796
14/09/2019,2706
15/09/2019,213
16/09/2019,4767
17/09/2019,9025
18/09/2019,5379
19/09/2019,5128
20/09/2019,8376
23/09/2019,15573
24/09/2019,19786
25/09/2019,24748
26/09/2019,9187
27/09/2019,59457
28/09/2019,1538
29/09/2019,2224
30/09/2019,13880
01/10/2019,13766
02/10/2019,19991
03/10/2019,9769
04/10/2019,18747
05/10/2019,8769
06/10/2019,230
09/10/2019,74527
10/10/2019,13652
11/10/2019,40754
12/10/2019,1507
13/10/2019,315
14/10/2019,16979
15/10/2019,9404
16/10/2019,17948
17/10/2019,28165
18/10/2019,7847
19/10/2019,2316
20/10/2019,483
21/10/2019,20769
22/10/2019,7471
23/10/2019,18374
24/10/2019,12475
25/10/2019,9616
26/10/2019,2151
27/10/2019,722
28/10/2019,9152
29/10/2019,10260
30/10/2019,11560
31/10/2019,11597
01/11/2019,10823
02/11/2019,3956
03/11/2019,3318
04/11/2019,24613
05/11/2019,5434
06/11/2019,18973
07/11/2019,10411
08/11/2019,21049
09/11/2019,1872
10/11/2019,408
11/11/2019,1800
12/11/2019,10114
13/11/2019,9141
14/11/2019,55814
15/11/2019,9087
16/11/2019,10718
17/11/2019,499
18/11/2019,18005
19/11/2019,7107
20/11/2019,9812
21/11/2019,16181
22/11/2019,15080
23/11/2019,5233
24/11/2019,344
25/11/2019,27519
26/11/2019,40117
27/11/2019,6838
28/11/2019,16487
29/11/2019,6757
30/11/2019,3744
01/12/2019,379
02/12/2019,21794
03/12/2019,8043
04/12/2019,8803
05/12/2019,42197
06/12/2019,5308
07/12/2019,3541
